Notifiable Disease Surveillance Data by District Health Board March 2016,,,,,,,,,,,,,,,,,,,,,
,,Cases_ and current rate_ for March 2016 by District Health Board_,,,,,,,,,,,,,,,,,,,
Disease,,Northland,Waitemata,Auckland,Counties Manukau,Waikato,Lakes,Bay of Plenty,Tairawhiti,Taranaki,Hawke's Bay,Whanganui,MidCentral,Hutt Valley,Capital and Coast,Wairarapa,Nelson Marlborough,West Coast,Canterbury,South Canterbury,Southern
Campylobacteriosis,Cases,25,39,43,28,44,7,16,4,14,8,3,16,12,27,4,10,5,58,14,39
,Rate,164.6,147.7,107.6,94.3,156.9,150.8,99.3,111.8,199.3,155.1,134.2,113.3,120.1,122.9,171.3,147.1,232.4,140.3,238.9,167.8
Cryptosporidiosis,Cases,4,9,11,1,4,0,0,0,0,1,0,2,1,3,2,0,0,6,1,6
,Rate,19.6,16.3,14.1,14.8,31,14.3,9,14.8,19,16.2,16,25.6,6.3,9.3,25.5,8.3,12.2,13.5,25.6,20.7
Dengue fever,Cases,0,6,1,5,1,0,0,0,0,0,0,0,1,3,0,0,0,2,0,2
,Rate,0,3.1,5.1,5.9,1.8,1,1.4,8.4,0.9,0,0,0.6,1.4,6.3,0,2.8,0,1.1,1.7,1.9
Gastroenteritis,Cases,0,2,8,10,2,1,3,0,0,0,3,3,2,8,2,0,0,7,0,1
,Rate,0.6,10.4,24.1,8.2,2.8,13.4,9.5,8.4,5.2,0.6,25.6,32.5,14.6,26.6,16.2,2.8,9.2,5.7,1.7,5.4
Giardiasis,Cases,7,26,18,25,12,2,6,12,5,12,0,2,3,15,1,5,1,24,1,6
,Rate,36.8,35.1,40.6,35.3,31.5,54.4,32.1,86.5,25,55.5,27.2,17.4,13.2,47.2,30.1,39.4,33.6,29.7,22.2,27.1
Haemophilus influenzae type b,Cases,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0.2,0.2,0,0,0,0.5,0,0.9,0,0,0,0,0,0,0,6.1,0,0,0
Hepatitis A,Cases,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
,Rate,1.8,1.6,0.2,1.5,0,0,1.8,2.1,0,0,0,2.3,0.7,1,0,0,0,0.2,0,1
Hepatitis B,Cases,0,0,1,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0
,Rate,1.2,0.7,1.2,0.4,0.5,2.9,1.4,0,0.9,1.2,0,0.6,0.7,1.7,0,0,0,0.6,0,0.3
Hepatitis C,Cases,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0
,Rate,1.8,0.3,0.2,0,0,0,0,0,3.5,1.2,1.6,0,1.4,1,0,4.1,3.1,1.3,5.1,0.6
Invasive pneumococcal disease,Cases,3,4,3,5,2,2,1,0,0,0,1,0,0,3,0,0,0,0,0,0
,Rate,17.8,5.9,8.6,13,10.8,23.9,11.7,14.8,6,10,8,8.7,10.4,8.6,13.9,6.9,12.2,7.8,5.1,8.9
Legionellosis,Cases,5,1,2,3,2,0,2,0,0,0,0,0,0,3,0,0,0,3,0,1
,Rate,13.1,8.7,4.5,5.8,5.9,2.9,13.1,0,3.5,6.9,1.6,11,4.2,5,6.9,2.8,6.1,7.8,5.1,3.2
Leptospirosis,Cases,0,0,0,1,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1
,Rate,0,0.3,0,0.6,2,1.9,2.7,0,3.5,6.2,1.6,1.7,1.4,0.7,4.6,0.7,6.1,0.4,1.7,1.9
Listeriosis,Cases,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
,Rate,0,0.5,1.2,0.8,0.5,0,3.2,0,0,0,1.6,0,1.4,0.7,2.3,2.1,0,0.2,0,0.3
Malaria,Cases,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,1.6,2,1.3,0.3,0,0,0,0,1.2,0,0.6,1.4,0.3,2.3,1.4,0,0.6,0,0.3
Measles,Cases,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0.5,1,1,0.5,0,0,0,0,0,0,2.3,0,0,0,0,0,0.2,0,0
Meningococcal disease,Cases,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
,Rate,3.6,1.7,0.4,1.7,1.3,1.9,1.4,2.1,1.7,1.9,1.6,1.7,0,2,2.3,0.7,3.1,0.8,1.7,1.9
Mumps,Cases,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
,Rate,1.8,0.7,0.2,0.6,0,0,0,2.1,2.6,1.2,0,0,0,0.3,0,0,0,0.2,0,0
Paratyphoid fever,Cases,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
,Rate,0,1,0.6,0.8,1,1.9,0.5,0,0,1.9,1.6,0,0,0.7,2.3,0.7,0,0.6,0,0.6
Pertussis,Cases,0,12,3,3,12,0,3,0,4,4,0,2,1,10,0,4,0,17,2,5
,Rate,11.9,20.5,16.7,25.1,33,14.3,11.3,10.5,11.2,12.5,33.5,11,17.4,25.6,9.3,51.8,0,57.6,10.2,52.5
Q fever,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rheumatic fever_,Cases,0,1,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,Rate,1.8,1.7,3.9,6.5,2.6,4.8,4.5,8.4,0.9,2.5,0,1.7,2.1,1,2.3,0,0,0.6,0,0.6
Rickettsial disease,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0.6,1.2,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubella,Cases,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0.2,0,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmonellosis,Cases,6,6,11,6,11,3,3,10,3,2,0,6,4,4,1,2,1,14,1,7
,Rate,17.2,21.2,23.9,13,15.6,19.1,18.1,75.9,19.8,16.8,9.6,25.6,18.8,21.9,25.5,23.5,24.5,26,46.1,45.5
Shigellosis,Cases,0,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
,Rate,0.6,3.3,4.5,5,1.5,1,1.4,0,0.9,0.6,0,0.6,2.1,1.7,0,0,0,2.3,0,2.2
Tuberculosis disease,Cases,0,4,6,6,2,0,2,1,1,0,0,0,0,1,0,0,0,2,0,0
,Rate,1.2,6.8,11.6,12.5,6.4,6.7,5,2.1,3.5,6.2,1.6,4.1,3.5,7.6,0,2.1,3.1,6.5,0,1.6
Typhoid fever,Cases,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Rate,0,0.2,2.4,4.4,1,0,0.9,0,0,0,0,0.6,0,0.7,0,1.4,0,0.2,0,0.6
Viral Haemorrhagic Fever,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTEC/STEC infection,Cases,9,17,6,14,10,0,1,0,0,0,1,1,0,1,0,0,1,2,0,6
,Rate,23.8,17.7,12.2,13.4,12.8,4.8,7.2,0,6,1.2,4.8,2.3,2.1,2,2.3,5.5,12.2,5.3,6.8,5.7
Yersiniosis,Cases,2,5,6,1,1,0,1,0,0,1,1,0,1,7,0,0,0,20,1,3
,Rate,6.5,9.6,10.8,10.2,11,11.5,12.6,19,12.1,7.5,12.8,5.8,21.5,21.6,4.6,4.8,21.4,34.4,23.9,13.1
_ These data are provisional.,,,,,,,,,,,,,,,,,,,,,
"_ Current rate is based on the cumulative total for the 12 months up to and including March 2016 expressed as cases per 100,000. This includes cases still under investigation.",,,,,,,,,,,,,,,,,,,,,
_ Further data are available from the local Medical Officer of Health.,,,,,,,,,,,,,,,,,,,,,
_ Rates are based on report date. This may not be a good indicator of newly incident cases as a high proportion of notifications have substantial reporting delays.,,,,,,,,,,,,,,,,,,,,,