Notifiable Disease Surveillance Data by District Health Board May 2016,,,,,,,,,,,,,,,,,,,,,
Cases_ and current rate_ for May 2016 by District Health Board_,,,,,,,,,,,,,,,,,,,,,
Disease,,Northland,Waitemata,Auckland,Counties Manukau,Waikato,Lakes,Bay of Plenty,Tairawhiti,Taranaki,Hawke's Bay,Whanganui,MidCentral,Hutt Valley,Capital and Coast,Wairarapa,Nelson Marlborough,West Coast,Canterbury,South Canterbury,Southern
Campylobacteriosis,Cases,16,43,30,31,27,7,16,6,15,28,4,16,11,21,1,14,3,54,8,40
,Rate,167.6,146.6,109,95.3,162.1,146,100.7,126.6,200.2,173.8,131,123.8,126.4,119.2,150.5,139.5,214.1,138.8,233.8,169.7
Cryptosporidiosis,Cases,7,22,7,10,10,0,0,1,0,2,1,1,2,4,2,0,0,7,0,1
,Rate,28.5,20.8,16.5,17.4,32.5,12.4,7.2,16.9,18.1,17.4,19.2,27.3,6.9,8.6,32.4,8.3,12.2,15.2,23.9,20.4
Dengue fever,Cases,1,1,1,2,0,1,0,0,0,4,0,1,1,3,0,1,0,2,0,1
,Rate,0.6,3.3,5.3,6.5,1.5,1,1.4,8.4,0.9,2.5,0,1.2,2.1,6.6,0,3.5,0,1.9,1.7,2.2
Gastroenteritis,Cases,0,2,7,4,0,0,1,0,3,1,1,0,2,7,2,0,0,3,0,1
,Rate,2.4,9.9,23.3,8.8,2.8,15.3,11.7,4.2,7.8,1.2,16,30.2,17.4,25.6,20.8,2.8,9.2,5.9,1.7,6.1
Giardiasis,Cases,8,9,12,16,13,6,8,7,1,3,0,1,4,16,2,4,0,10,4,5
,Rate,37.4,33.7,43.7,35.8,30.2,56.3,34.3,111.8,31.1,53,22.4,16.9,18.1,47.5,37,37.3,24.5,30.2,27.3,23.6
Haemophilus influenzae type b,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0,0
Hepatitis A,Cases,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
,Rate,2.4,1.6,1,1.7,0,0,0.9,2.1,0,0,0,1.7,0.7,0.7,0,1.4,0,0.4,0,0.6
Hepatitis B,Cases,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Rate,1.2,0.5,1.6,0.2,0.3,1.9,0.5,0,2.6,0.6,0,0.6,1.4,1,0,0,0,0.4,0,0.3
Hepatitis C,Cases,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
,Rate,2.4,0.5,0.2,0,0,0,0,0,3.5,1.2,1.6,0,1.4,0.7,2.3,4.1,3.1,1.5,5.1,1.3
Invasive pneumococcal disease,Cases,4,3,6,8,3,3,3,3,0,3,0,1,0,2,1,0,0,2,1,2
,Rate,19.6,5.9,9.8,13.4,10.2,21.9,14,21.1,5.2,10.6,8,8.1,11.1,10,11.6,6.9,12.2,8,10.2,8.6
Legionellosis,Cases,3,1,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,4,1,2
,Rate,14.3,8.7,5.5,5.4,5.9,2.9,12.6,0,3.5,6.9,1.6,9.9,4.9,4.6,9.3,4.1,9.2,6.8,6.8,4.1
Leptospirosis,Cases,2,1,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
,Rate,3,0.2,0,1,2.8,1.9,1.8,0,4.3,6.2,1.6,1.7,0.7,0.3,0,0.7,6.1,0.4,1.7,1.9
Listeriosis,Cases,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
,Rate,0,0.7,1,1,0.5,0,3.6,0,0,0.6,1.6,0,2.1,0.3,2.3,2.1,0,0.4,0,0.6
Malaria,Cases,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0.6,1.4,2,1.2,0.3,0,0,0,0,1.2,0,0.6,1.4,0.3,2.3,1.4,0,0.4,0,0.3
Measles,Cases,6,0,0,0,23,0,0,0,0,0,0,15,0,0,0,3,0,0,0,0
,Rate,3.6,0.2,0.2,1,9.2,0,0,0,0,0,0,9.9,0,0,0,2.1,0,0.2,0,0
Meningococcal disease,Cases,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
,Rate,3,1.9,0.4,2.3,1.3,1.9,1.4,2.1,1.7,1.9,1.6,1.2,0,2.3,2.3,0.7,3.1,0.8,1.7,3.5
Mumps,Cases,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Rate,1.8,0.3,0,0.6,0,1,0,2.1,2.6,0.6,0,0.6,0,0.3,0,0,0,0,0,0.3
Paratyphoid fever,Cases,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0.7,1,1,0,1,0.5,0,0,1.9,0,0,0,1,4.6,0.7,0,1,0,0.6
Pertussis,Cases,0,3,4,3,11,0,1,0,6,2,0,3,0,8,0,7,0,20,0,5
,Rate,8.9,20.2,15.9,21.3,35.1,9.5,12.2,10.5,17.3,11.2,41.5,11.6,13.9,25.6,6.9,51.8,0,64.8,8.5,51.6
Q fever,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rheumatic fever_,Cases,1,2,2,11,1,2,1,0,0,0,0,1,0,2,0,0,0,1,0,0
,Rate,1.2,2.1,4.7,8.4,1.8,6.7,4.1,4.2,0.9,2.5,0,2.3,2.1,1.7,2.3,0,0,0.6,0,0.6
Rickettsial disease,Cases,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0.6,1.4,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubella,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Rate,0,0.2,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.2,0,0
Salmonellosis,Cases,5,11,9,5,5,3,1,4,3,3,0,6,3,4,1,3,1,6,4,4
,Rate,19.6,21,22.4,10.9,18.4,21,16.7,124.5,19.8,18.7,8,24.4,20.8,19.9,25.5,18.6,24.5,26,51.2,45.2
Shigellosis,Cases,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
,Rate,1.2,3.6,4.3,5.2,2,1,1.4,0,0.9,0.6,0,0.6,1.4,2.3,0,0,0,2.1,0,2.2
Tuberculosis disease,Cases,0,1,6,7,1,0,1,0,0,2,1,3,2,3,0,0,0,6,0,1
,Rate,1.2,5.9,10.8,12.3,7.7,4.8,4.1,2.1,3.5,8.1,4.8,4.6,3.5,7.3,0,2.8,3.1,7.2,0,1.9
Typhoid fever,Cases,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0.3,2.7,4.8,1,0,1.4,0,0,0,0,0.6,0,0,0,1.4,0,0,0,0.6
Viral Haemorrhagic Fever,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTEC/STEC infection,Cases,4,8,2,9,7,0,2,0,0,0,0,1,0,1,0,1,1,0,0,2
,Rate,27.9,18.6,11.8,15.5,12.8,4.8,9.9,0,8.6,0.6,3.2,2.9,2.8,1.3,0,6.2,9.2,5.3,1.7,7.3
Yersiniosis,Cases,3,7,9,5,4,5,3,1,1,1,0,3,1,9,0,2,0,11,3,0
,Rate,7.1,12.2,14.7,11.7,11.3,17.2,12.6,21.1,13.8,8.1,12.8,7.6,21.5,27.2,4.6,4.1,18.3,33.8,29,12.7
_ These data are provisional.,,,,,,,,,,,,,,,,,,,,,
"_ Current rate is based on the cumulative total for the 12 months up to and including May 2016 expressed as cases per 100,000. This includes cases still under investigation.",,,,,,,,,,,,,,,,,,,,,
_ Further data are available from the local Medical Officer of Health.,,,,,,,,,,,,,,,,,,,,,
_ Rates are based on report date. This may not be a good indicator of newly incident cases as a high proportion of notifications have substantial reporting delays.,,,,,,,,,,,,,,,,,,,,,
EpiSurv data as at 7/06/2016 12:00:00 a.m.,,,,,,,,,,,,,,,,,,,,,